,n_speakers,glottocode
880,7000000,finn1317
881,10000000,malv1243
882,6000000,lamb1269
883,9600000,hait1244
884,6900000,kash1277
885,10800000,rund1242
886,6623000,kiku1240
887,5016500,core1256
888,7500000,neap1235
889,7430000,maku1279
890,9000000,mund1335
891,7200000,sant1410
892,8300000,core1255
893,8300000,shon1251
894,5040000,tupi1275
895,5800000,tigr1271
896,7507780,tigr1271
897,7000000,tumb1250
898,8000000,tach1250
899,6300000,luba1249
900,7400000,konk1270
901,6000000,sout2807
902,5586000,kaby1243
903,9100000,ilok1237
904,8200000,hili1240
905,7600000,moss1236
906,10300000,mind1253
907,11000000,minb1244
908,6000000,quec1389
909,7250000,cent1972
910,5830000,wola1242
911,6000000,umbu1257
912,10500000,taiz1242
913,4900000,east2299
914,10000000,alem1243
915,9600000,dari1249
916,5065879,hind1271
917,6000000,nort2740
918,6029500,nort2740
919,9600000,dhun1238
920,6800000,iris1255
921,5000000,ouji1238
922,7000000,sadr1248
923,7303740,queb1247
924,7800000,quec1388
925,6000000,oldm1245
926,7247800,zena1250
927,8000000,bagh1251
928,5000000,mewa1250
929,5430000,suku1261
930,5000000,mewa1249
931,9220610,nort2697
932,5000000,luri1252
933,6520000,cent1973
934,5000000,ghan1244
935,6000000,puer1238
936,9100000,cong1236
937,9270000,cent2050
938,10900000,sout2649
939,5000000,west2924
940,39700000,poli1260
941,23100000,dutc1256
942,15437390,swah1254
943,860,chil1280
944,1200,aree1239
945,915,coma1245
946,800,hadz1240
947,800,ishk1244
948,749,laal1242
949,1000,istr1245
950,785,krym1236
951,1050,ormu1247
952,1000,shos1248
953,1000,treg1243
954,970,arch1244
955,1000,abon1238
956,1000,khin1240
957,1000,istr1244
958,900,seri1257
959,700,lule1254
960,1000,tidi1241
961,1000,arap1274
962,800,anem1249
963,780,gugu1255
964,740,deni1241
965,1000,hunz1247
966,1049,oira1263
967,900,wutu1244
968,950,baka1277
969,1000,waka1280
970,880,cypr1249
971,1120,cand1248
972,958,saki1247
973,750,alpi1239
974,650,guar1293
975,1135,pipi1250
976,1200,oroq1238
977,720,sout2994
978,1200,keii1239
979,1200,uruc1242
980,1200,cash1254
981,957,kala1377
982,1000,gong1251
983,650,apal1257
984,1142,pile1238
985,1000,guay1257
986,700,esee1248
987,760,xokl1240
988,1080,jama1261
989,930,gitx1241
990,690,gone1237
991,1000,kang1281
992,700,pano1254
993,1000,louu1245
994,1032,macu1260
995,1000,airo1242
996,610,nisg1240
997,831,kaku1242
998,831,nuka1242
999,740,rama1270
1000,800,west2548
1001,1200,seco1241
1002,999,tupi1284
1003,800,tean1237
1004,910,vang1243
1005,1000,wano1243
1006,1000,koro1296
1007,1000,tala1295
1008,800,korl1238
1009,1000,kuik1246
1010,1070,bura1267
1011,900,yuwa1244
1012,900,lola1248
1013,800,nuau1240
1014,600,pyen1239
1015,739,selu1242
1016,800,nort1550
1017,1000,cong1236
1018,842,iliu1237
1019,1000,yint1235
1020,1013,seru1245
1021,700,sapw1237
1022,800,mose1249
1023,1000,mans1258
1024,653,nata1254
1025,600,sara1323
1026,1160,suku1264
1027,600,krik1239
1028,1823,manx1243
1029,2120,slav1253
1030,1390,nana1257
1031,2025,moks1248
1032,1270,carr1248
1033,1270,carr1249
1034,1735,dogr1252
1035,1800,cent2128
1036,1310,copp1244
1037,1276,veps1250
1038,1400,boro1282
1039,1500,fiji1243
1040,1290,lako1247
1041,2000,lako1247
1042,2000,niha1238
1043,724000,wels1247
1044,995000,qash1240
1045,777000,zapo1437
1046,850000,monn1252
1047,706000,yuca1254
1048,1000000,pala1330
1049,612000,fris1239
1050,610000,rusy1239
1051,843000,fris1238
1052,845100,fris1238
1053,843000,west2354
1054,845100,west2354
1055,843000,west2863
1056,845100,west2863
1057,740000,angi1238
1058,715000,avar1256
1059,766500,avar1256
1060,633610,lezg1247
1061,1000000,dagb1246
1062,603000,bodo1269
1063,745000,gaaa1244
1064,940000,kach1280
1065,738070,chuv1255
1066,746000,furr1244
1067,1000000,gand1255
1068,858000,fang1246
1069,843000,khas1269
1070,865000,khas1269
1071,900000,nuer1246
1072,780000,mara1404
1073,935000,silt1240
1074,810000,ndon1254
1075,645000,kuii1252
1076,893600,newa1246
1077,893600,newa1247
1078,700000,pica1241
1079,800000,tigr1270
1080,600000,wall1255
1081,984000,cent2126
1082,764400,taly1247
1083,860000,bulu1251
1084,781000,ajab1235
1085,700000,huay1239
1086,918200,ayac1239
1087,820000,fare1241
1088,886000,khor1269
1089,600000,jjuu1238
1090,700000,hawa1247
1091,890000,kamb1318
1092,692000,krio1253
1093,700000,kokb1239
1094,871000,kabu1256
1095,940000,isek1239
1096,669000,nobi1240
1097,650000,tain1252
1098,800000,nupe1254
1099,778000,pont1253
1100,640000,sout2808
1101,700000,luuu1242
1102,640000,tawa1286
1103,900000,ryuk1243
1104,760000,taid1247
1105,866000,kach1277
1106,810000,amdo1237
1107,740000,hani1248
1108,980000,gede1246
1109,600000,akha1245
1110,780000,kalm1243
1111,850000,nung1283
1112,820000,swab1242
1113,674000,mamb1296
1114,700000,hlai1239
1115,850000,mala1481
1116,800000,suda1237
1117,720200,shin1264
1118,750000,quec1386
1119,609000,konz1239
1120,825768,nias1242
1121,820000,iumi1238
1122,722000,rong1268
1123,640000,capi1239
1124,890000,ngaj1237
1125,990000,haaa1252
1126,900000,mang1405
1127,700000,creo1235
1128,692000,lugu1238
1129,765000,rakh1245
1130,664000,sham1280
1131,650000,taid1249
1132,980000,nyam1276
1133,618300,logo1258
1134,900000,mand1409
1135,860000,paok1235
1136,600000,varl1238
1137,600000,yurm1239
1138,790000,doty1234
1139,2000000,espe1235
1140,1500000,alsa1241
1141,1251770,esto1258
1142,1500000,latv1249
1143,250000,nama1265
1144,250000,nort3245
1145,250000,amer1248
1146,227000,fran1269
1147,261000,aona1235
1148,232300,assy1241
1149,232300,east2681
1150,201500,extr1243
1151,250000,ripu1236
1152,326000,chak1266
1153,327000,brit1235
1154,237080,dzon1239
1155,237080,nucl1307
1156,230000,basa1284
1157,329000,buri1258
1158,300000,chav1241
1159,320000,fiji1243
1160,330000,fiji1243
1161,283000,fren1243
1162,237000,here1253
1163,300000,friu1240
1164,322900,ingu1240
1165,305364,kara1465
1166,310400,kara1465
1167,300000,mapu1245
1168,319000,papi1253
1169,321300,papi1253
1170,300000,sran1240
1171,297000,tuvi1240
1172,300000,afsh1238
1173,215000,amis1246
1174,300000,esan1238
1175,250000,eton1253
1176,320000,embu1241
1177,300000,hyam1245
1178,250000,gasc1240
1179,296000,maba1277
1180,219000,lamb1271
1181,219100,komi1267
1182,271180,saho1246
1183,213849,maor1246
1184,318000,obol1243
1185,280000,toto1252
1186,273000,wasa1244
1187,250000,jauj1237
1188,274000,zagh1240
1189,250000,bade1248
1190,250000,taya1257
1191,210000,xamt1239
1192,240000,kons1243
1193,287000,alab1254
1194,230000,nyis1236
1195,220000,zeeu1238
1196,280000,naba1253
1197,300000,wayu1243
1198,290000,khow1242
1199,290000,nort2664
1200,230000,enga1252
1201,250000,lazz1240
1202,300000,guia1246
1203,247000,kuan1247
1204,286900,east2303
1205,261000,plau1238
1206,250000,born1254
1207,219000,gumu1244
1208,310000,naxi1245
1209,300000,osin1237
1210,255000,dren1238
1211,275000,ndzw1235
1212,210000,west2560
1213,240000,kamb1299
1214,300000,suii1243
1215,312000,ngaz1238
1216,300000,sumb1241
1217,200000,coas1294
1218,250000,ethi1238
1219,255000,tyap1238
1220,300000,saya1246
1221,200000,yala1263
1222,211000,enge1239
1223,300000,muna1247
1224,310000,nyor1244
1225,200000,taid1250
1226,280000,taid1250
1227,278000,tanz1238
1228,280000,zimb1247
1229,219000,ukra1235
1230,230000,irig1242
1231,300000,hung1263
1232,200000,roni1235
1233,219000,russ1264
1234,250290,nort2774
1235,200000,east2803
1236,320000,malt1247
1237,24300000,roma1327
1238,18000000,mala1537
1239,26900000,ukra1253
1240,12600000,hung1274
1241,13100000,gree1276
1242,45000000,fars1254
1243,16600000,cent1989
1244,16600000,khme1253
1245,20700000,thai1261
1246,32900000,nucl1310
1247,43627550,stin1234
1248,12900000,kaza1248
1249,14000000,taji1245
1250,27000000,uzbe1247
1251,16000000,turk1304
1252,23000000,azer1255
1253,19000000,sout1528
1254,12100000,zulu1248
1255,12370010,raja1256
1256,19972883,raja1256
1257,36000000,raja1256
1258,46000000,roma1329
1259,16000000,nort3180
1260,37300000,xian1251
1261,15300000,sinh1246
1262,16200000,soma1255
1263,17000000,berb1260
1264,21900000,amha1245
1265,15300000,assa1263
1266,14100000,bava1246
1267,22000000,awad1243
1268,16300000,chha1249
1269,13000000,chit1275
1270,13000000,chit1285
1271,13500000,bany1247
1272,15900000,cebu1242
1273,12000000,nyan1308
1274,48200000,hakk1236
1275,14000000,hary1238
1276,15000000,nort2741
1277,24000000,fula1264
1278,22100000,ganc1239
1279,12100000,kiny1244
1280,27000000,nucl1417
1281,47500000,nige1257
1282,43600000,nucl1305
1283,20700000,maga1260
1284,34500000,oriy1255
1285,15800000,nepa1254
1286,24000000,nucl1736
1287,20009000,sera1259
1288,24600000,sind1272
1289,32400000,sund1251
1290,23600000,taga1269
1291,37800000,yoru1245
1292,13000000,tson1249
1293,15000000,kanu1279
1294,33900000,mait1250
1295,14500000,nige1253
1296,14600000,nort2641
1297,15000000,nucl1460
1298,20000000,ling1263
1299,37100000,mala1464
1300,21000000,kurd1259
1301,50100000,minn1241
1302,15000000,mode1248
1303,18000000,taib1242
1304,17000000,cent2195
1305,11600000,tuni1259
1306,27500000,moro1292
1307,43900000,haus1257
1308,46900000,jiny1235
